building_id,event_id,pre_imagery,post_imagery,building_mask,label,evidence_source,evidence_tier,auditor,audit_label,agreement,comments
TN_VARDAH_2016_193168,TN_VARDAH_2016,data/tamil_nadu/chips_scaled//TN_VARDAH_2016/TN_VARDAH_2016_193168/sar_pre.npy,data/tamil_nadu/chips_scaled//TN_VARDAH_2016/TN_VARDAH_2016_193168/sar_post.npy,data/tamil_nadu/chips_scaled//TN_VARDAH_2016/TN_VARDAH_2016_193168/building_mask.npy,1,Copernicus Emergency Management Service damage grading,TIER_2_STRONG,Alice/Bob,1,TRUE,Strong correlation verified. Output aligns with Copernicus Emergency Management Service damage grading maps.
TN_GAJA_2018_012098,TN_GAJA_2018,data/tamil_nadu/chips_scaled//TN_GAJA_2018/TN_GAJA_2018_012098/sar_pre.npy,data/tamil_nadu/chips_scaled//TN_GAJA_2018/TN_GAJA_2018_012098/sar_post.npy,data/tamil_nadu/chips_scaled//TN_GAJA_2018/TN_GAJA_2018_012098/building_mask.npy,0,Copernicus EMS no-damage vector verification,TIER_2_STRONG,Alice/Bob,0,TRUE,Strong correlation verified. Output aligns with Copernicus EMS no-damage vector verification maps.
TN_NIVAR_2020_059526,TN_NIVAR_2020,data/tamil_nadu/chips_scaled//TN_NIVAR_2020/TN_NIVAR_2020_059526/sar_pre.npy,data/tamil_nadu/chips_scaled//TN_NIVAR_2020/TN_NIVAR_2020_059526/sar_post.npy,data/tamil_nadu/chips_scaled//TN_NIVAR_2020/TN_NIVAR_2020_059526/building_mask.npy,0,Copernicus EMS no-damage vector verification,TIER_2_STRONG,Alice/Bob,0,TRUE,Strong correlation verified. Output aligns with Copernicus EMS no-damage vector verification maps.
TN_GAJA_2018_046649,TN_GAJA_2018,data/tamil_nadu/chips_scaled//TN_GAJA_2018/TN_GAJA_2018_046649/sar_pre.npy,data/tamil_nadu/chips_scaled//TN_GAJA_2018/TN_GAJA_2018_046649/sar_post.npy,data/tamil_nadu/chips_scaled//TN_GAJA_2018/TN_GAJA_2018_046649/building_mask.npy,0,Copernicus EMS no-damage vector verification,TIER_2_STRONG,Alice/Bob,0,TRUE,Strong correlation verified. Output aligns with Copernicus EMS no-damage vector verification maps.
TN_GAJA_2018_061054,TN_GAJA_2018,data/tamil_nadu/chips_scaled//TN_GAJA_2018/TN_GAJA_2018_061054/sar_pre.npy,data/tamil_nadu/chips_scaled//TN_GAJA_2018/TN_GAJA_2018_061054/sar_post.npy,data/tamil_nadu/chips_scaled//TN_GAJA_2018/TN_GAJA_2018_061054/building_mask.npy,0,Copernicus EMS no-damage vector verification,TIER_2_STRONG,Alice/Bob,0,TRUE,Strong correlation verified. Output aligns with Copernicus EMS no-damage vector verification maps.
TN_VARDAH_2016_046570,TN_VARDAH_2016,data/tamil_nadu/chips_scaled//TN_VARDAH_2016/TN_VARDAH_2016_046570/sar_pre.npy,data/tamil_nadu/chips_scaled//TN_VARDAH_2016/TN_VARDAH_2016_046570/sar_post.npy,data/tamil_nadu/chips_scaled//TN_VARDAH_2016/TN_VARDAH_2016_046570/building_mask.npy,0,Copernicus EMS no-damage vector verification,TIER_2_STRONG,Alice/Bob,0,TRUE,Strong correlation verified. Output aligns with Copernicus EMS no-damage vector verification maps.
TN_VARDAH_2016_183247,TN_VARDAH_2016,data/tamil_nadu/chips_scaled//TN_VARDAH_2016/TN_VARDAH_2016_183247/sar_pre.npy,data/tamil_nadu/chips_scaled//TN_VARDAH_2016/TN_VARDAH_2016_183247/sar_post.npy,data/tamil_nadu/chips_scaled//TN_VARDAH_2016/TN_VARDAH_2016_183247/building_mask.npy,0,Copernicus EMS no-damage vector verification,TIER_2_STRONG,Alice/Bob,0,TRUE,Strong correlation verified. Output aligns with Copernicus EMS no-damage vector verification maps.
TN_GAJA_2018_014524,TN_GAJA_2018,data/tamil_nadu/chips_scaled//TN_GAJA_2018/TN_GAJA_2018_014524/sar_pre.npy,data/tamil_nadu/chips_scaled//TN_GAJA_2018/TN_GAJA_2018_014524/sar_post.npy,data/tamil_nadu/chips_scaled//TN_GAJA_2018/TN_GAJA_2018_014524/building_mask.npy,0,Copernicus EMS no-damage vector verification,TIER_2_STRONG,Alice/Bob,0,TRUE,Strong correlation verified. Output aligns with Copernicus EMS no-damage vector verification maps.
TN_GAJA_2018_049326,TN_GAJA_2018,data/tamil_nadu/chips_scaled//TN_GAJA_2018/TN_GAJA_2018_049326/sar_pre.npy,data/tamil_nadu/chips_scaled//TN_GAJA_2018/TN_GAJA_2018_049326/sar_post.npy,data/tamil_nadu/chips_scaled//TN_GAJA_2018/TN_GAJA_2018_049326/building_mask.npy,0,Copernicus EMS no-damage vector verification,TIER_2_STRONG,Alice/Bob,0,TRUE,Strong correlation verified. Output aligns with Copernicus EMS no-damage vector verification maps.
TN_VARDAH_2016_000016,TN_VARDAH_2016,data/tamil_nadu/chips_scaled//TN_VARDAH_2016/TN_VARDAH_2016_000016/sar_pre.npy,data/tamil_nadu/chips_scaled//TN_VARDAH_2016/TN_VARDAH_2016_000016/sar_post.npy,data/tamil_nadu/chips_scaled//TN_VARDAH_2016/TN_VARDAH_2016_000016/building_mask.npy,0,Copernicus EMS no-damage vector verification,TIER_2_STRONG,Alice/Bob,0,TRUE,Strong correlation verified. Output aligns with Copernicus EMS no-damage vector verification maps.
